"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2022-01-01",Aceh,1,21,-11,-18,-35,1
"2022-01-02",Aceh,17,40,2,-1,-9,-3
"2022-01-03",Aceh,17,42,-1,-4,-12,-8
"2022-01-04",Aceh,5,29,-16,-8,-10,-6
"2022-01-05",Aceh,14,38,-7,-7,-8,-7
"2022-01-06",Aceh,14,39,-10,-6,-5,-7
"2022-01-07",Aceh,10,36,-6,-9,-5,-6
"2022-01-08",Aceh,9,29,-11,-7,-8,-5
"2022-01-09",Aceh,11,31,-5,-11,-6,-3
"2022-01-10",Aceh,13,34,-5,1,-8,-7
"2022-01-11",Aceh,10,33,-3,1,-7,-8
"2022-01-12",Aceh,8,29,-7,-6,-7,-6
"2022-01-13",Aceh,12,36,-7,2,-5,-6
"2022-01-14",Aceh,8,32,-3,-7,-4,-5
"2022-01-15",Aceh,11,31,0,1,-4,-4
"2022-01-16",Aceh,12,31,7,-4,-3,-1
"2022-01-17",Aceh,10,30,-1,-3,-4,-4
"2022-01-18",Aceh,7,28,-3,-2,-5,-4
"2022-01-19",Aceh,10,33,-3,-7,-3,-4
"2022-01-20",Aceh,12,36,-5,-4,-2,-3
"2022-01-21",Aceh,8,31,-3,-13,-1,-3
"2022-01-22",Aceh,9,28,0,-7,-1,-2
"2022-01-23",Aceh,9,27,9,-11,-1,0
"2022-01-24",Aceh,6,25,-7,-8,-2,-2
"2022-01-25",Aceh,8,29,-5,-7,-4,-3
"2022-01-26",Aceh,9,28,-5,-8,-3,-3
"2022-01-27",Aceh,10,31,-5,-7,-2,-3
"2022-01-28",Aceh,7,28,-4,-13,-1,-2
"2022-01-29",Aceh,8,25,-3,-3,0,-1
"2022-01-30",Aceh,10,27,7,-8,1,1
"2022-01-31",Aceh,12,29,2,-2,-3,-3
"2022-02-01",Aceh,8,30,25,0,-48,4
"2022-02-02",Aceh,10,34,-4,-7,-3,-4
"2022-02-03",Aceh,11,36,-7,-7,-2,-3
"2022-02-04",Aceh,8,32,-5,-13,-1,-2
"2022-02-05",Aceh,9,30,-3,-6,-2,-1
"2022-02-06",Aceh,3,21,-6,-15,-3,2
"2022-02-07",Aceh,11,31,-8,-11,-3,-3
"2022-02-08",Aceh,11,32,1,-8,-4,-4
"2022-02-09",Aceh,6,25,-18,-18,-5,-1
"2022-02-10",Aceh,12,36,-10,-6,-6,-1
"2022-02-11",Aceh,8,30,-6,-15,-2,-1
"2022-02-12",Aceh,11,31,-4,-9,-1,-1
"2022-02-13",Aceh,11,30,2,-12,0,1
"2022-02-14",Aceh,9,28,-5,-12,-2,-2
"2022-02-15",Aceh,1,22,-16,-14,-4,-1
"2022-02-16",Aceh,4,25,-17,-16,-4,-1
"2022-02-17",Aceh,11,35,-10,-11,-2,-2
"2022-02-18",Aceh,5,29,-10,-19,-1,-2
"2022-02-19",Aceh,9,30,0,-13,1,1
"2022-02-20",Aceh,9,29,6,-14,2,3
"2022-02-21",Aceh,10,30,1,-16,-2,-1
"2022-02-22",Aceh,3,24,-4,-15,-4,-1
"2022-02-23",Aceh,6,28,-3,-13,-2,1
"2022-02-24",Aceh,9,34,0,-8,0,2
"2022-02-25",Aceh,3,28,-6,-13,0,5
"2022-02-26",Aceh,-3,19,-8,-4,-2,7
"2022-02-27",Aceh,2,21,-9,-20,-1,9
"2022-02-28",Aceh,2,21,2,-2,-47,11
"2022-03-01",Aceh,10,40,1,-8,-3,3
"2022-03-02",Aceh,8,32,-7,-14,-2,3
"2022-03-03",Aceh,15,43,20,-2,-41,9
"2022-03-04",Aceh,12,40,8,-14,7,8
"2022-03-05",Aceh,11,33,3,-5,8,10
"2022-03-06",Aceh,14,34,7,-3,14,10
"2022-03-07",Aceh,15,35,12,-3,7,7
"2022-03-08",Aceh,4,24,2,-6,8,11
"2022-03-09",Aceh,13,35,10,-2,11,11
"2022-03-10",Aceh,17,41,16,2,14,11
"2022-03-11",Aceh,14,39,20,-7,19,15
"2022-03-12",Aceh,17,39,20,-3,24,14
"2022-03-13",Aceh,18,39,21,-5,29,15
"2022-03-14",Aceh,19,39,26,-1,18,15
"2022-03-15",Aceh,15,37,27,4,17,14
"2022-03-16",Aceh,13,35,17,-7,16,14
"2022-03-17",Aceh,8,31,7,-6,16,15
"2022-03-18",Aceh,16,41,21,-5,19,14
"2022-03-19",Aceh,14,35,15,-2,23,15
"2022-03-20",Aceh,15,35,12,-9,28,16
"2022-03-21",Aceh,22,40,38,10,18,13
"2022-03-22",Aceh,18,39,36,14,16,13
"2022-03-23",Aceh,16,36,31,4,15,14
"2022-03-24",Aceh,22,44,28,8,17,12
"2022-03-25",Aceh,18,43,25,-4,19,14
"2022-03-26",Aceh,19,41,23,13,25,13
"2022-03-27",Aceh,25,46,46,14,30,12
"2022-03-28",Aceh,28,48,45,15,19,11
"2022-03-29",Aceh,26,49,45,15,15,12
"2022-03-30",Aceh,31,57,49,15,12,10
"2022-03-31",Aceh,40,79,58,29,6,10
"2022-04-01",Aceh,28,76,69,6,-14,14
"2022-04-02",Aceh,6,45,20,-15,-13,20
"2022-04-03",Aceh,-15,23,-29,-37,6,25
"2022-04-04",Aceh,1,38,12,-15,-6,20
"2022-04-05",Aceh,-3,35,6,-18,-5,20
"2022-04-06",Aceh,-1,33,8,-18,-3,20
"2022-04-07",Aceh,3,38,7,-14,-1,19
"2022-04-08",Aceh,-1,32,5,-23,0,20
"2022-04-09",Aceh,0,35,-6,-17,4,21
"2022-04-10",Aceh,2,34,-15,-23,29,20
"2022-04-11",Aceh,7,37,22,-14,8,18
"2022-04-12",Aceh,6,39,24,-8,6,18
"2022-04-13",Aceh,7,37,19,-6,5,18
"2022-04-14",Aceh,11,45,23,1,7,17
"2022-04-15",Aceh,7,39,17,-19,-31,23
"2022-04-16",Aceh,7,41,2,-16,9,19
"2022-04-17",Aceh,8,40,-8,-13,31,20
"2022-04-18",Aceh,13,44,26,-8,8,18
"2022-04-19",Aceh,8,41,23,-2,4,18
"2022-04-20",Aceh,15,49,27,3,3,18
"2022-04-21",Aceh,18,57,27,4,6,16
"2022-04-22",Aceh,15,52,27,-3,6,17
"2022-04-23",Aceh,17,56,12,-1,11,17
"2022-04-24",Aceh,18,54,1,-5,34,18
"2022-04-25",Aceh,19,55,30,12,-1,18
"2022-04-26",Aceh,25,68,38,15,-4,17
"2022-04-27",Aceh,29,73,40,16,-6,15
"2022-04-28",Aceh,35,88,38,35,-6,14
"2022-04-29",Aceh,33,86,41,16,-28,17
"2022-04-30",Aceh,29,88,17,22,-10,17
"2022-05-01",Aceh,37,115,20,9,13,15
"2022-05-02",Aceh,13,31,81,-5,-59,13
"2022-05-03",Aceh,29,52,121,31,-62,10
"2022-05-04",Aceh,42,67,181,58,-59,8
"2022-05-05",Aceh,43,72,162,59,-55,11
"2022-05-06",Aceh,30,59,115,42,-48,14
"2022-05-07",Aceh,31,58,95,58,-25,10
"2022-05-08",Aceh,36,62,71,51,10,9
"2022-05-09",Aceh,37,63,74,42,4,11
"2022-05-10",Aceh,27,56,58,33,4,12
"2022-05-11",Aceh,27,54,47,21,5,13
"2022-05-12",Aceh,28,57,48,23,8,12
"2022-05-13",Aceh,22,50,41,15,10,14
"2022-05-14",Aceh,22,47,41,26,13,13
"2022-05-15",Aceh,26,49,50,22,23,13
"2022-05-16",Aceh,27,49,79,33,-36,18
"2022-05-17",Aceh,23,49,45,18,11,12
"2022-05-18",Aceh,23,47,44,12,9,12
"2022-05-19",Aceh,25,49,38,13,10,13
"2022-05-20",Aceh,19,45,36,7,13,14
"2022-05-21",Aceh,18,40,31,2,16,14
"2022-05-22",Aceh,20,42,33,8,28,15
"2022-05-23",Aceh,24,45,45,8,13,13
"2022-05-24",Aceh,19,42,45,8,10,13
"2022-05-25",Aceh,22,42,40,12,9,13
"2022-05-26",Aceh,22,46,59,21,-32,19
"2022-05-27",Aceh,19,43,38,1,14,14
"2022-05-28",Aceh,16,38,19,-1,18,15
"2022-05-29",Aceh,15,36,10,-6,30,13
"2022-05-30",Aceh,21,41,30,3,15,13
"2022-05-31",Aceh,15,37,24,1,12,13
"2022-06-01",Aceh,8,31,25,-10,-34,23
"2022-06-02",Aceh,21,49,22,-5,14,14
"2022-06-03",Aceh,19,47,30,-7,16,14
"2022-06-04",Aceh,19,44,28,-5,20,14
"2022-06-05",Aceh,18,43,26,-1,32,15
"2022-06-06",Aceh,23,44,42,0,16,13
"2022-06-07",Aceh,19,43,41,4,13,14
"2022-06-08",Aceh,19,41,37,2,13,14
"2022-06-09",Aceh,19,44,31,1,14,14
"2022-06-10",Aceh,14,40,24,-7,16,16
"2022-06-11",Aceh,16,41,28,-5,20,15
"2022-06-12",Aceh,18,41,34,1,33,15
"2022-06-13",Aceh,22,44,45,3,15,14
"2022-06-14",Aceh,12,34,28,5,11,15
"2022-06-15",Aceh,14,35,26,2,9,15
"2022-06-16",Aceh,21,47,33,8,12,14
"2022-06-17",Aceh,18,44,31,8,14,14
"2022-06-18",Aceh,16,40,28,2,19,14
"2022-06-19",Aceh,19,42,33,10,33,15
"2022-06-20",Aceh,21,41,46,9,6,15
"2022-06-21",Aceh,14,36,40,13,3,15
"2022-06-22",Aceh,16,37,38,9,3,15
"2022-06-23",Aceh,12,33,23,3,3,16
"2022-06-24",Aceh,18,43,38,6,6,14
"2022-06-25",Aceh,14,37,27,3,10,16
"2022-06-26",Aceh,17,38,31,13,33,15
"2022-06-27",Aceh,20,38,41,17,6,15
"2022-06-28",Aceh,17,38,43,17,5,15
"2022-06-29",Aceh,17,37,34,9,5,15
"2022-06-30",Aceh,22,45,37,12,7,14
"2022-07-01",Aceh,15,43,28,4,8,16
"2022-07-02",Aceh,21,49,34,7,11,15
"2022-07-03",Aceh,24,50,36,9,37,14
"2022-07-04",Aceh,26,49,42,11,6,15
"2022-07-05",Aceh,27,56,55,21,6,13
"2022-07-06",Aceh,30,59,51,23,5,13
"2022-07-07",Aceh,36,73,46,32,6,13
"2022-07-08",Aceh,36,85,43,22,1,14
"2022-07-09",Aceh,28,87,28,-2,-11,17
"2022-07-10",Aceh,6,20,31,-14,2,12
"2022-07-11",Aceh,21,36,101,12,-40,15
"2022-07-12",Aceh,25,46,101,34,-34,13
"2022-07-13",Aceh,28,53,85,30,-10,12
"2022-07-14",Aceh,31,59,67,21,-3,12
"2022-07-15",Aceh,23,49,48,10,9,14
"2022-07-16",Aceh,23,48,39,8,14,13
"2022-07-17",Aceh,26,53,33,15,32,13
"2022-07-18",Aceh,25,50,45,9,14,12
"2022-07-19",Aceh,23,46,41,11,14,16
"2022-07-20",Aceh,21,43,34,7,13,13
"2022-07-21",Aceh,19,44,30,4,14,14
"2022-07-22",Aceh,15,41,28,4,17,15
"2022-07-23",Aceh,16,40,19,-2,39,13
"2022-07-24",Aceh,11,34,8,-2,29,16
"2022-07-25",Aceh,16,37,26,-1,14,16
"2022-07-26",Aceh,15,40,30,8,14,15
"2022-07-27",Aceh,15,37,26,4,12,15
