"date","categories","location","total_vaccinations","mobility"
"2021-01-22",first_wave_covid19,Indonesia,"132000.0",-23.3333
"2021-01-24",first_wave_covid19,Indonesia,"149242.0",-22.8333
"2021-01-25",first_wave_covid19,Indonesia,"161959.0",-20.3333
"2021-01-26",first_wave_covid19,Indonesia,"245685.0",-21.3333
"2021-01-27",first_wave_covid19,Indonesia,"308003.0",-20.5000
"2021-01-28",first_wave_covid19,Indonesia,"373786.0",-19.5000
"2021-01-29",first_wave_covid19,Indonesia,"416299.0",-21.1667
"2021-01-30",first_wave_covid19,Indonesia,"502955.0",-20.0000
"2021-01-31",first_wave_covid19,Indonesia,"515681.0",-16.6667
"2021-02-01",first_wave_covid19,Indonesia,"574938.0",-19.1667
"2021-02-02",first_wave_covid19,Indonesia,"648259.0",-18.3333
"2021-02-03",first_wave_covid19,Indonesia,"717647.0",-20.6667
"2021-02-04",first_wave_covid19,Indonesia,"796819.0",-20.3333
"2021-02-05",first_wave_covid19,Indonesia,"865609.0",-18.5000
"2021-02-06",first_wave_covid19,Indonesia,"914303.0",-20.8333
"2021-02-07",first_wave_covid19,Indonesia,"923449.0",-22.3333
"2021-02-08",first_wave_covid19,Indonesia,"985855.0",-19.8333
"2021-02-09",first_wave_covid19,Indonesia,"1066860.0",-18.0000
"2021-02-10",first_wave_covid19,Indonesia,"1248797.0",-17.3333
"2021-02-11",first_wave_covid19,Indonesia,"1362791.0",-14.3333
"2021-02-13",first_wave_covid19,Indonesia,"1475812.0",-19.5000
"2021-02-14",first_wave_covid19,Indonesia,"1494325.0",-17.8333
"2021-02-15",first_wave_covid19,Indonesia,"1578720.0",-17.8333
"2021-02-16",first_wave_covid19,Indonesia,"1658110.0",-18.6667
"2021-02-17",first_wave_covid19,Indonesia,"1747267.0",-17.8333
"2021-02-18",first_wave_covid19,Indonesia,"1787976.0",-19.6667
"2021-02-20",first_wave_covid19,Indonesia,"1956725.0",-19.1667
"2021-02-23",first_wave_covid19,Indonesia,"2059871.0",-18.8333
"2021-02-24",first_wave_covid19,Indonesia,"2188788.0",-18.3333
"2021-02-25",first_wave_covid19,Indonesia,"2315665.0",-16.1667
"2021-02-26",first_wave_covid19,Indonesia,"2449451.0",-16.1667
"2021-02-27",first_wave_covid19,Indonesia,"2598535.0",-14.0000
"2021-02-28",first_wave_covid19,Indonesia,"2690163.0",-11.3333
"2021-03-02",first_wave_covid19,Indonesia,"3023348.0",-15.3333
"2021-03-03",first_wave_covid19,Indonesia,"3386351.0",-14.0000
"2021-03-05",first_wave_covid19,Indonesia,"3528152.0",-15.1667
"2021-03-07",first_wave_covid19,Indonesia,"4022544.0",-13.6667
"2021-03-10",first_wave_covid19,Indonesia,"4837576.0",-11.6667
"2021-03-11",first_wave_covid19,Indonesia,"4991674.0",-14.1667
"2021-03-12",first_wave_covid19,Indonesia,"5108536.0",-15.3333
"2021-03-13",first_wave_covid19,Indonesia,"5440432.0",-12.6667
"2021-03-14",first_wave_covid19,Indonesia,"5480346.0",-12.6667
"2021-03-15",first_wave_covid19,Indonesia,"5739648.0",-13.1667
"2021-03-16",first_wave_covid19,Indonesia,"6185700.0",-14.8333
"2021-03-17",first_wave_covid19,Indonesia,"6581388.0",-13.3333
"2021-03-18",first_wave_covid19,Indonesia,"6787283.0",-14.3333
"2021-03-19",first_wave_covid19,Indonesia,"7027463.0",-14.0000
"2021-03-20",first_wave_covid19,Indonesia,"7346148.0",-11.8333
"2021-03-21",first_wave_covid19,Indonesia,"7835357.0",-11.0000
"2021-03-22",first_wave_covid19,Indonesia,"7879881.0",-14.0000
"2021-03-23",first_wave_covid19,Indonesia,"8226632.0",-14.6667
"2021-03-24",first_wave_covid19,Indonesia,"8687796.0",-13.3333
"2021-03-25",first_wave_covid19,Indonesia,"9330853.0",-12.8333
"2021-03-26",first_wave_covid19,Indonesia,"10117812.0",-12.0000
"2021-03-27",first_wave_covid19,Indonesia,"10412824.0",-12.3333
"2021-03-28",first_wave_covid19,Indonesia,"10489657.0",-9.5000
"2021-03-29",first_wave_covid19,Indonesia,"10707915.0",-12.6667
"2021-03-30",first_wave_covid19,Indonesia,"11229846.0",-14.0000
"2021-03-31",first_wave_covid19,Indonesia,"11805314.0",-11.0000
"2021-04-01",period_of_quiet,Indonesia,"12200266.0",-6.8333
"2021-04-02",period_of_quiet,Indonesia,"12286155.0",-9.5000
"2021-04-03",period_of_quiet,Indonesia,"12485291.0",-8.6667
"2021-04-04",period_of_quiet,Indonesia,"12643583.0",-5.5000
"2021-04-05",period_of_quiet,Indonesia,"13046407.0",-8.5000
"2021-04-06",period_of_quiet,Indonesia,"13353717.0",-9.5000
"2021-04-07",period_of_quiet,Indonesia,"13735337.0",-9.0000
"2021-04-08",period_of_quiet,Indonesia,"13975000.0",-7.8333
"2021-04-09",period_of_quiet,Indonesia,"14727509.0",-8.0000
"2021-04-10",period_of_quiet,Indonesia,"15005957.0",-5.1667
"2021-04-11",period_of_quiet,Indonesia,"15145565.0",-3.5000
"2021-04-12",period_of_quiet,Indonesia,"15572530.0",-4.8333
"2021-04-13",period_of_quiet,Indonesia,"15805960.0",-20.5000
"2021-04-14",period_of_quiet,Indonesia,"16046363.0",-17.8333
"2021-04-15",period_of_quiet,Indonesia,"16309777.0",-15.6667
"2021-04-16",period_of_quiet,Indonesia,"16526130.0",-15.3333
"2021-04-17",period_of_quiet,Indonesia,"16690960.0",-16.5000
"2021-04-18",period_of_quiet,Indonesia,"16739340.0",-16.0000
"2021-04-19",period_of_quiet,Indonesia,"17017666.0",-14.1667
"2021-04-20",period_of_quiet,Indonesia,"17233178.0",-13.1667
"2021-04-21",period_of_quiet,Indonesia,"17591216.0",-12.1667
"2021-04-22",period_of_quiet,Indonesia,"17920908.0",-12.8333
"2021-04-23",period_of_quiet,Indonesia,"18265027.0",-13.3333
"2021-04-24",period_of_quiet,Indonesia,"18484179.0",-13.0000
"2021-04-25",period_of_quiet,Indonesia,"18556227.0",-12.3333
"2021-04-26",period_of_quiet,Indonesia,"18842883.0",-11.8333
"2021-04-27",period_of_quiet,Indonesia,"19159802.0",-11.8333
"2021-04-28",period_of_quiet,Indonesia,"19487346.0",-11.1667
"2021-04-29",period_of_quiet,Indonesia,"19847136.0",-8.6667
"2021-04-30",period_of_quiet,Indonesia,"20015745.0",-7.6667
"2021-05-01",period_of_quiet,Indonesia,"20110846.0",-8.6667
"2021-05-02",period_of_quiet,Indonesia,"20135649.0",-6.3333
"2021-05-03",period_of_quiet,Indonesia,"20372568.0",-4.3333
"2021-05-04",period_of_quiet,Indonesia,"20653919.0",-3.6667
"2021-05-05",period_of_quiet,Indonesia,"20984828.0",-3.0000
"2021-05-06",period_of_quiet,Indonesia,"21313654.0",-5.8333
"2021-05-07",period_of_quiet,Indonesia,"21592945.0",-6.5000
"2021-05-08",period_of_quiet,Indonesia,"21868276.0",-7.1667
"2021-05-09",period_of_quiet,Indonesia,"21975503.0",-5.6667
"2021-05-10",period_of_quiet,Indonesia,"22230343.0",-2.1667
"2021-05-11",period_of_quiet,Indonesia,"22485737.0",0.6667
"2021-05-12",period_of_quiet,Indonesia,"22586588.0",-0.8333
"2021-05-13",period_of_quiet,Indonesia,"22615110.0",-16.0000
"2021-05-14",period_of_quiet,Indonesia,"22620824.0",-11.1667
"2021-05-15",period_of_quiet,Indonesia,"22675927.0",-7.8333
"2021-05-16",period_of_quiet,Indonesia,"22708311.0",-4.5000
"2021-05-17",period_of_quiet,Indonesia,"22870037.0",-2.5000
"2021-05-18",period_of_quiet,Indonesia,"23199575.0",-0.8333
"2021-05-19",period_of_quiet,Indonesia,"23466389.0",-1.0000
"2021-05-20",period_of_quiet,Indonesia,"23905335.0",-1.5000
"2021-05-21",period_of_quiet,Indonesia,"24317577.0",-4.1667
"2021-05-22",period_of_quiet,Indonesia,"24641165.0",-2.8333
"2021-05-23",period_of_quiet,Indonesia,"24762597.0",-0.1667
"2021-05-24",period_of_quiet,Indonesia,"24816571.0",-4.0000
"2021-05-25",period_of_quiet,Indonesia,"25455786.0",-0.1667
"2021-05-26",period_of_quiet,Indonesia,"25760831.0",-0.1667
"2021-05-27",period_of_quiet,Indonesia,"26063579.0",-0.8333
"2021-05-28",period_of_quiet,Indonesia,"26487346.0",-2.3333
"2021-05-29",period_of_quiet,Indonesia,"26758625.0",-2.1667
"2021-05-30",period_of_quiet,Indonesia,"26889189.0",2.6667
"2021-05-31",period_of_quiet,Indonesia,"27045507.0",2.1667
"2021-06-01",second_wave_covid19,Indonesia,"27308881.0",1.5000
"2021-06-02",second_wave_covid19,Indonesia,"27619247.0",1.3333
"2021-06-03",second_wave_covid19,Indonesia,"28027750.0",1.8333
"2021-06-04",second_wave_covid19,Indonesia,"28347058.0",-1.0000
"2021-06-05",second_wave_covid19,Indonesia,"28702933.0",1.6667
"2021-06-06",second_wave_covid19,Indonesia,"28770360.0",2.1667
"2021-06-07",second_wave_covid19,Indonesia,"28972987.0",0.1667
"2021-06-08",second_wave_covid19,Indonesia,"29616507.0",-0.1667
"2021-06-09",second_wave_covid19,Indonesia,"30155028.0",0.3333
"2021-06-10",second_wave_covid19,Indonesia,"30700350.0",0.0000
"2021-06-11",second_wave_covid19,Indonesia,"31195606.0",-2.3333
"2021-06-12",second_wave_covid19,Indonesia,"31603325.0",-0.6667
"2021-06-13",second_wave_covid19,Indonesia,"31727380.0",0.5000
"2021-06-14",second_wave_covid19,Indonesia,"32039910.0",-2.0000
"2021-06-15",second_wave_covid19,Indonesia,"32603744.0",-3.5000
"2021-06-16",second_wave_covid19,Indonesia,"33264392.0",-3.1667
"2021-06-17",second_wave_covid19,Indonesia,"33962386.0",-3.5000
"2021-06-18",second_wave_covid19,Indonesia,"34551233.0",-6.1667
"2021-06-19",second_wave_covid19,Indonesia,"35086248.0",-7.0000
"2021-06-20",second_wave_covid19,Indonesia,"35283078.0",-7.0000
"2021-06-21",second_wave_covid19,Indonesia,"35586159.0",-7.0000
"2021-06-22",second_wave_covid19,Indonesia,"36304801.0",-6.5000
"2021-06-23",second_wave_covid19,Indonesia,"36998897.0",-7.0000
"2021-06-24",second_wave_covid19,Indonesia,"37699231.0",-8.1667
"2021-06-25",second_wave_covid19,Indonesia,"38394659.0",-7.5000
"2021-06-26",second_wave_covid19,Indonesia,"39050655.0",-8.5000
"2021-06-27",second_wave_covid19,Indonesia,"40224794.0",-8.5000
"2021-06-28",second_wave_covid19,Indonesia,"40601932.0",-7.8333
"2021-06-29",second_wave_covid19,Indonesia,"41634512.0",-8.6667
"2021-06-30",second_wave_covid19,Indonesia,"42744641.0",-8.6667
"2021-07-01",second_wave_covid19,Indonesia,"43808549.0",-6.0000
"2021-07-02",second_wave_covid19,Indonesia,"44661928.0",-7.3333
"2021-07-03",second_wave_covid19,Indonesia,"45495972.0",-12.3333
"2021-07-04",second_wave_covid19,Indonesia,"46043309.0",-14.0000
"2021-07-05",second_wave_covid19,Indonesia,"46338202.0",-11.0000
"2021-07-06",second_wave_covid19,Indonesia,"47444009.0",-11.8333
"2021-07-07",second_wave_covid19,Indonesia,"48483610.0",-12.0000
"2021-07-08",second_wave_covid19,Indonesia,"49483188.0",-13.3333
"2021-07-09",second_wave_covid19,Indonesia,"50644144.0",-16.1667
"2021-07-10",second_wave_covid19,Indonesia,"51162406.0",-17.5000
"2021-07-11",second_wave_covid19,Indonesia,"51278367.0",-18.1667
"2021-07-12",second_wave_covid19,Indonesia,"51404659.0",-15.5000
