"date","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2020-02-15",-2,-2,-8,1,5,1
"2020-02-16",-3,-3,-7,-4,2,2
"2020-02-17",-3,-4,-7,-1,3,1
"2020-02-18",-3,-2,-4,1,2,1
"2020-02-19",-3,-4,-3,0,1,1
"2020-02-20",-2,-1,-1,4,1,1
"2020-02-21",-2,-3,-5,2,5,1
"2020-02-22",0,0,-5,1,5,0
"2020-02-23",-2,-1,-5,-4,3,1
"2020-02-24",-2,-3,-4,-1,4,1
"2020-02-25",-5,-2,-6,-6,-2,3
"2020-02-26",-2,-1,-3,0,3,0
"2020-02-27",0,2,-3,2,4,0
"2020-02-28",1,3,-5,3,5,1
"2020-02-29",2,6,-7,4,6,0
"2020-03-01",1,5,-8,0,3,1
"2020-03-02",5,12,0,3,5,0
"2020-03-03",3,10,-2,2,5,0
"2020-03-04",0,4,-5,-1,4,1
"2020-03-05",4,8,-1,3,4,0
"2020-03-06",2,4,-3,3,6,1
"2020-03-07",3,6,-4,3,6,0
"2020-03-08",1,4,-4,-1,4,1
"2020-03-09",2,3,-1,1,5,1
"2020-03-10",3,6,2,1,4,1
"2020-03-11",3,5,2,1,4,1
"2020-03-12",2,3,0,1,4,1
"2020-03-13",2,3,-2,1,6,1
"2020-03-14",-2,3,-6,-5,5,1
"2020-03-15",-7,3,-12,-12,4,3
"2020-03-16",-7,2,-8,-12,-8,5
"2020-03-17",-9,1,-10,-16,-13,6
"2020-03-18",-11,0,-12,-21,-16,8
"2020-03-19",-16,-5,-17,-26,-17,9
"2020-03-20",-19,-7,-21,-31,-18,10
"2020-03-21",-23,-5,-30,-33,-11,9
"2020-03-22",-32,-15,-39,-42,-7,10
"2020-03-23",-27,-12,-25,-41,-27,13
"2020-03-24",-29,-11,-26,-42,-31,13
"2020-03-25",-38,-20,-31,-52,-59,21
"2020-03-26",-34,-17,-30,-46,-34,15
"2020-03-27",-36,-17,-34,-49,-33,16
"2020-03-28",-42,-20,-46,-50,-23,15
"2020-03-29",-47,-27,-52,-54,-15,15
"2020-03-30",-36,-20,-32,-51,-34,16
"2020-03-31",-35,-16,-32,-49,-35,15
"2020-04-01",-31,-10,-28,-49,-35,15
"2020-04-02",-33,-13,-29,-50,-35,16
"2020-04-03",-35,-17,-34,-53,-34,17
"2020-04-04",-40,-20,-45,-54,-25,15
"2020-04-05",-43,-24,-50,-58,-17,14
"2020-04-06",-34,-20,-31,-54,-34,16
"2020-04-07",-33,-16,-30,-51,-35,15
"2020-04-08",-34,-17,-30,-52,-36,15
"2020-04-09",-31,-13,-28,-50,-35,15
"2020-04-10",-43,-28,-37,-64,-60,24
"2020-04-11",-43,-24,-46,-59,-30,17
"2020-04-12",-46,-27,-50,-61,-17,15
"2020-04-13",-33,-19,-29,-56,-35,17
"2020-04-14",-34,-19,-29,-54,-36,16
"2020-04-15",-35,-19,-29,-55,-36,17
"2020-04-16",-34,-18,-29,-56,-36,17
"2020-04-17",-38,-23,-35,-58,-35,18
"2020-04-18",-43,-25,-46,-58,-24,15
"2020-04-19",-45,-26,-49,-60,-14,14
"2020-04-20",-34,-19,-29,-56,-34,16
"2020-04-21",-35,-19,-31,-55,-36,16
"2020-04-22",-34,-16,-28,-53,-36,15
"2020-04-23",-32,-10,-28,-50,-37,15
"2020-04-24",-49,-30,-45,-64,-43,22
"2020-04-25",-50,-29,-53,-64,-30,19
"2020-04-26",-53,-34,-58,-68,-18,18
"2020-04-27",-43,-28,-38,-62,-36,19
"2020-04-28",-43,-26,-38,-61,-38,18
"2020-04-29",-42,-24,-36,-60,-37,18
"2020-04-30",-40,-19,-35,-58,-36,18
"2020-05-01",-44,-23,-42,-67,-59,25
"2020-05-02",-46,-24,-50,-62,-28,18
"2020-05-03",-48,-28,-55,-65,-14,17
"2020-05-04",-38,-21,-34,-60,-35,18
"2020-05-05",-39,-19,-34,-58,-36,18
