lapangan_usaha,triwulan_2_2021,triwulan_3_2021,triwulan_4_2021,triwulan_1_2022
pertanian_kehutanan_dan perikanan,14.29,14.32,11.39,12.55
pertambangan_dan_penggalian,8.09,9.55,10.43,10.48
industri_pengolahan,19.29,19.15,18.80,19.19
pengadaan_listrik_dan_gas,1.10,1.10,1.10,1.11
pengadaan_air_pengelolaan_sampah_limbah_daur_ulang,0.07,0.07,0.07,0.07
konstruksi,10.12,10.39,10.48,10.42
perdagangan_besar_dan_eceran,13.08,13.02,12.71,13.09
transportasi_dan_pergudangan,4.21,3.90,4.56,4.62
penyediaan_akomodasi_dan_makan_minum,2.48,2.26,2.44,2.44
informasi_dan_komunikasi,4.44,4.37,4.28,4.34
jasa_keuangan_dan_asuransi,4.42,4.26,4.12,4.34
real_estate,2.78,2.74,2.65,2.67
jasa_perusahaan,1.81,1.70,1.72,1.80
administrasi_pemerintahan_pertahanan_dan_jaminan_sosial_wajib,1.81,1.70,1.72,3.08
jasa_pendidikan,3.79,2.95,3.55,2.85
jasa_kesehatan_kegiatan_sosial,3.38,3.07,3.41,1.16
jasa_lainnya,1.25,1.41,1.43,1.88
